The.Wolverine.2013.720p.10bit.BluRay.x265.HEVC-MZABI.srt,The Wolverine,2010,Marvel,X-Men
TheAvengers3InfinityWar.brrip.2018.1080p.txt,Avengers: Infinity War,2010,Marvel,MCU
Thor 1080p BluRay x264.srt,Thor,2010,Marvel,MCU
Thor.Ragnarok.2017.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.srt,Thor: Ragnarok,2010,Marvel,MCU
Thor.The.Dark.World.2013.BRRip.x264.vineet.srt,Thor: The Dark World,2010,Marvel,MCU
Watchmen.2009.ULTIMATE.CUT.720p.BluRay.x264.YIFY.txt,Watchmen,2000,DC,single
Wonder.Woman.2017.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.srt,Wonder Woman,2010,DC,DCEU
X-Men.2.2003.720p.10bit.BluRay.x265.HEVC-MZABI.srt,X-Men 2,2000,Marvel,X-Men
X-Men.2000.1080p.BrRip.x264.YIFY.srt,X-Men,2000,Marvel,X-Men
X-Men.Apocalypse.2016.720p.BRRip.x264.AAC-ETRG.srt,X-Men: Apocalypse,2010,Marvel,X-Men
X-Men.Days.of.Future.Past.2014.720p.10bit.BluRay.x265.HEVC-MZABI.srt,X-Men: Days of Future Past,2010,Marvel,X-Men
X-Men.First.Class.2011.UHD.BluRay.2160p.DTS-HD.MA.5.1.HEVC.REMUX-FraMeSToR.srt,X-Men: First Class,2010,Marvel,X-Men
X-Men.Origins.Wolverine.2009.720p.10bit.BluRay.x265.HEVC-MZABI.srt,X-Men Origins: Wolverine,2000,Marvel,X-Men
X-Men.The.Last.Stand.2006.720p.BrRip.x264.YIFY.srt,X-Men: The Last Stand,2000,Marvel,X-Men
batman.forever.srt,Batman Forever,1990,DC,BatmanTetr
lady death 2004 dvdrip english.srt,Lady Death,2000,Chaos Comics,single
superman.returns.2006.720p.hddvdip.x264-progress_en.srt,Superman Returns,2000,DC,Superman
